id;category;lv;srl;src;img;audio;ru;en;sr-ex;ru-ex;en-ex
1;general;1;Ja;Ја;assets/images/words/ja.png;assets/sounds/words/ja.wav;Я;I;Ja sam student. Ja volim kafu. Ja idem kući.;Я студент. Я люблю кофе. Я иду домой.;I am a student. I love coffee. I am going home.
2;general;1;Imam;Имам;assets/images/words/imam.png;assets/sounds/words/imam.wav;Имею;I have;Imam novu knjigu. Imam malo vremena. Imam velikog psa.;У меня новая книга. У меня есть немного времени. У меня большая собака.;I have a new book. I have a little time. I have a big dog.
3;general;1;Volim;Волим;assets/images/words/volim.png;assets/sounds/words/volim.wav;Люблю;I love / I like;Volim dobru muziku. Jako volim tebe. Volim toplo leto.;Я люблю хорошую музыку. Я очень люблю тебя. Я люблю тёплое лето.;I love good music. I love you very much. I love warm summer.
4;general;1;Jedem;Једем;assets/images/words/jedem.png;assets/sounds/words/jedem.wav;Ем;I eat;Jedem svež hleb. Jedem svako jutro. Jedem sveže voće.;Я ем свежий хлеб. Я ем каждое утро. Я ем свежие фрукты.;I eat fresh bread. I eat every morning. I eat fresh fruit.
5;general;1;Pijem;Пијем;assets/images/words/pijem.png;assets/sounds/words/pijem.wav;Пью;I drink;Pijem hladnu vodu. Pijem kafu ujutru. Pijem topli čaj.;Я пью холодную воду. Я пью кофе утром. Я пью горячий чай.;I drink cold water. I drink coffee in the morning. I drink hot tea.
6;general;1;Dobar;Добар;assets/images/words/dobar.png;assets/sounds/words/dobar.wav;Хороший;Good;On je dobar čovek. Ovo je dobar dan. Imam dobar posao.;Он хороший человек. Это хороший день. У меня хорошая работа.;He is a good man. This is a good day. I have a good job.
7;general;1;Velika;Велика;assets/images/words/velika.png;assets/sounds/words/velika.wav;Большая;Big / large;Ovo je velika kuća. Ona ima veliku porodicu. To je velika greška.;Это большой дом. У неё большая семья. Это большая ошибка.;This is a big house. She has a big family. That is a big mistake.
8;general;2;Ti;Ти;assets/images/words/ti.png;assets/sounds/words/ti.wav;Ты;You (singular);Ti si moj prijatelj. Gde si ti? Ti znaš odgovor.;Ты мой друг. Где ты? Ты знаешь ответ.;You are my friend. Where are you? You know the answer.
9;general;2;Mi;Ми;assets/images/words/mi.png;assets/sounds/words/mi.wav;Мы;We;Mi smo prijatelji. Mi idemo u školu. Mi volimo more.;Мы друзья. Мы идём в школу. Мы любим море.;We are friends. We are going to school. We love the sea.
10;general;2;Si;Си;assets/images/words/si.png;assets/sounds/words/si.wav;(ты) есть;(You) are;Grammar. Odakle si? Da li si gotov?;«si» — форма глагола «biti» (быть) для 2-го лица единственного числа (ti + si). Откуда ты? Ты готов?;"si is the 2nd person singular form of the verb ""biti"" (to be) (ti + si). Where are you from? Are you ready?"
11;general;2;Smo;Смо;assets/images/words/smo.png;assets/sounds/words/smo.wav;(мы) есть;(We) are;Grammar. Da li smo spremni? Sutra smo slobodni.;«smo» — форма глагола «biti» (быть) для 1-го лица множественного числа (mi + smo). Мы готовы? Завтра мы свободны.;"smo is the 1st person plural form of the verb ""biti"" (to be) (mi + smo). Are we ready? Tomorrow we are free."
12;general;2;Imaš;Имаш;assets/images/words/imas.png;assets/sounds/words/imas.wav;Имеешь;You have;Imaš li vremena? Ti imaš lep osmeh. Imaš novu torbu.;У тебя есть время? У тебя красивая улыбка. У тебя новая сумка.;Do you have time? You have a nice smile. You have a new bag.
13;general;2;Imamo;Имамо;assets/images/words/imamo.png;assets/sounds/words/imamo.wav;Имеем;We have;Imamo veliki stan. Imamo puno posla. Imamo dobre prijatelje.;У нас большая квартира. У нас много работы. У нас хорошие друзья.;We have a big apartment. We have a lot of work. We have good friends.
14;general;2;Voliš;Волиш;assets/images/words/volis.png;assets/sounds/words/volis.wav;Любишь;You love / you like;Šta voliš da jedeš? Voliš li muziku? Ti voliš putovanja.;Что ты любишь есть? Ты любишь музыку? Ты любишь путешествия.;What do you like to eat? Do you like music? You love traveling.
