id;category;lv;sr;ru;en
1;general;1;Ja sam dobar.;Я хороший.;I am good.
2;general;1;Ja imam kuću.;У меня есть дом.;I have a house.
3;general;1;Kuća je velika.;Дом большой.;The house is big.
4;general;1;Ja volim kafu.;Я люблю кофе.;I love coffee.
5;general;1;Kafa je dobra.;Кофе хороший.;The coffee is good.
6;general;1;Grad je lep.;Город красивый.;The city is beautiful.
7;general;1;Ja jedem hleb.;Я ем хлеб.;I eat bread.
8;general;1;Ja pijem vodu.;Я пью воду.;I drink water.
9;general;1;Ja sam srećan.;Я счастливый.;I am happy.
10;general;1;Ja volim grad.;Я люблю город.;I love the city.
11;general;2;Mi smo mladi.;Мы молодые.;We are young.
12;general;2;Ja imam porodicu.;У меня есть семья.;I have a family.
13;general;2;Ti ideš u grad.;Ты идёшь в город.;You are going to the city.
14;general;2;Ja volim knjigu, ali ti voliš kafu.;Я люблю книгу, но ты любишь кофе.;I love books, but you love coffee.
15;general;2;Ti si dobar prijatelj.;Ты хороший друг.;You are a good friend.
16;general;2;Mi imamo lepu porodicu.;У нас красивая семья.;We have a beautiful family.
17;general;2;Ti radiš u školi.;Ты работаешь в школе.;You work at school.
18;general;2;Mi znamo mesto.;Мы знаем место.;We know the place.
19;general;2;Ti imaš zanimljiv posao.;У тебя интересная работа.;You have an interesting job.
20;general;2;Mi smo srećni.;Мы счастливые.;We are happy.
21;general;3;On je dobar čovek.;Он хороший человек.;He is a good man.
22;general;3;Ona voli kafu i vodu.;Она любит кофе и воду.;She loves coffee and water.
23;general;3;Vi ste veoma pametni.;Вы очень умные.;You are very smart.
24;general;3;On ima auto i telefon.;У него есть машина и телефон.;He has a car and a phone.
25;general;3;Danas je hladno, ali kafa je topla.;Сегодня холодно, но кофе тёплый.;Today it is cold, but the coffee is warm.
26;general;3;Ona ide u školu sada.;Она идёт в школу сейчас.;She is going to school now.
27;general;3;Gde je dete?;Где ребёнок?;Where is the child?
28;general;3;Šta on radi?;Что он делает?;What is he doing?
29;general;3;Vi imate dobar posao.;У вас хорошая работа.;You have a good job.
30;general;3;On zna gde je škola.;Он знает, где школа.;He knows where the school is.
31;pekara;1;Idem u pekaru po hleb.;Я иду в пекарню за хлебом.;I'm going to the bakery for bread.
32;pekara;1;Kupujem kiflu i sok za doručak.;Я покупаю рогалик и сок на завтрак.;I'm buying a croissant and juice for breakfast.
33;pekara;1;Ovaj burek je vruć i ukusan.;Этот бурек горячий и вкусный.;This burek is hot and tasty.
34;pekara;1;Molim vas, jedno parče torte.;Один кусок торта, пожалуйста.;One slice of cake, please.
35;pekara;1;Hvala, ovo pecivo je sveže.;Спасибо, эта выпечка свежая.;Thank you, this pastry is fresh.
36;pekara;1;Koliko košta ova kifla?;Сколько стоит этот рогалик?;How much does this croissant cost?
37;pekara;1;Uzeću dve zemičke, molim.;Я возьму две булочки, пожалуйста.;I'll take two buns, please.
38;pekara;1;Ovaj kolač je veoma sladak.;Этот пирог очень сладкий.;This cake is very sweet.
39;pekara;1;Stavite mi pecivo u kesu.;Положите мне выпечку в пакет.;Put the pastry in a bag for me.
40;pekara;1;Deca vole krofne posle škole.;Дети любят пончики после школы.;Kids love donuts after school.
41;pekara;2;Uzeću jednu sirnicu za poneti.;Я возьму одну сирницу с собой.;I'll take one cheese pie to go.
42;pekara;2;Ova pogača je domaća i mekana.;Эта погача домашняя и мягкая.;This pogača is homemade and soft.
43;pekara;2;Volim đevrek sa susamom ujutru.;Я люблю джеврек с кунжутом утром.;I love a sesame đevrek in the morning.
44;pekara;2;Naručujem tortu za rođendan deteta.;Я заказываю торт на день рождения ребёнка.;I'm ordering a cake for the child's birthday.
45;pekara;2;Molim vas jedan sendvič sa šunkom.;Один сэндвич с ветчиной, пожалуйста.;One ham sandwich, please.
46;pekara;2;Kakva je cena ove štrudle?;Какая цена этой штрудли?;What is the price of this strudel?
47;pekara;2;Zadržite kusur, hvala vam.;Оставьте сдачу себе, спасибо вам.;Keep the change, thank you.
48;pekara;2;Mogu li da dobijem račun?;Могу я получить чек?;Can I get a receipt?
49;pekara;2;Danas imamo popust na sve pecivo.;Сегодня у нас скидка на всю выпечку.;We have a discount on all pastries today.
50;pekara;2;Kakvo punjenje ima ova pita?;Какая начинка у этого пирога?;What filling does this pie have?
51;pekara;3;Da li imate nešto bez glutena?;У вас есть что-то без глютена?;Do you have anything gluten-free?
52;pekara;3;Imam alergiju na orahe, pazite molim vas.;У меня аллергия на орехи, будьте осторожны, пожалуйста.;I have an allergy to walnuts, please be careful.
53;pekara;3;Koji su sastojci ove torte?;Какие ингредиенты у этого торта?;What are the ingredients of this cake?
54;pekara;3;Ovo pecivo ima čokoladu i lešnik.;В этой выпечке шоколад и лесной орех.;This pastry has chocolate and hazelnut.
55;pekara;3;Lepinja sa kajmakom je odlična za doručak.;Лепинья с каймаком отличная на завтрак.;Lepinja with kaymak is excellent for breakfast.
56;pekara;3;Molim vas, pola kila kifli.;Полкило рогаликов, пожалуйста.;Half a kilo of croissants, please.
57;pekara;3;Ne treba mi plastična kesa, hvala.;Мне не нужен пластиковый пакет, спасибо.;I don't need a plastic bag, thanks.
58;pekara;3;Ovaj hleb je jučerašnje, ne sveže pečeno.;Этот хлеб вчерашний, не свежеиспечённый.;This bread is from yesterday, not freshly baked.
59;pekara;3;Torta je posuta šećerom u prahu i cimetom.;Торт посыпан сахарной пудрой и корицей.;The cake is dusted with powdered sugar and cinnamon.
60;pekara;3;Želim da naručim tortu za subotu.;Я хочу заказать торт на субботу.;I'd like to order a cake for Saturday.
61;prodavnica;1;Idem u prodavnicu posle posla.;Я иду в магазин после работы.;I'm going to the shop after work.
62;prodavnica;1;Kupujem povrće i voće svaki dan.;Я покупаю овощи и фрукты каждый день.;I buy vegetables and fruit every day.
63;prodavnica;1;Uzmite korpu na ulazu, molim vas.;Возьмите корзину у входа, пожалуйста.;Take a basket at the entrance, please.
64;prodavnica;1;Kolica su kod ulaza u prodavnicu.;Тележки у входа в магазин.;Carts are by the entrance to the store.
65;prodavnica;1;Kasa je na kraju prodavnice.;Касса в конце магазина.;The checkout is at the end of the store.
66;prodavnica;1;Prodavac je danas veoma ljubazan.;Продавец сегодня очень вежливый.;The shop assistant is very kind today.
67;prodavnica;1;Ovaj proizvod ima veliki popust.;На этот товар большая скидка.;This product has a big discount.
68;prodavnica;1;Plaćam karticom, ne gotovinom.;Я плачу картой, не наличными.;I'm paying by card, not cash.
69;prodavnica;1;Da li primate kartice ovde?;Вы принимаете здесь карты?;Do you accept cards here?
70;prodavnica;1;Tražim mleko bez laktoze.;Я ищу молоко без лактозы.;I'm looking for lactose-free milk.
71;prodavnica;2;Gde je odeljenje sa mlečnim proizvodima?;Где отдел молочных продуктов?;Where is the dairy department?
72;prodavnica;2;Ovo voće je jeftino danas.;Эти фрукты сегодня дёшевы.;This fruit is cheap today.
73;prodavnica;2;Meso je sveže i u zamrzivaču.;Мясо свежее и в морозилке.;The meat is fresh and in the freezer.
74;prodavnica;2;Proverite rok trajanja pre kupovine.;Проверьте срок годности перед покупкой.;Check the expiry date before buying.
75;prodavnica;2;Ova riba je skupa ove nedelje.;Эта рыба дорогая на этой неделе.;This fish is expensive this week.
76;prodavnica;2;Sok je na akciji, pogledajte etiketu.;Сок сейчас по акции, посмотрите этикетку.;The juice is on sale, check the label.
77;prodavnica;2;Imam kupon za popust na povrće.;У меня есть купон на скидку на овощи.;I have a coupon for a discount on vegetables.
78;prodavnica;2;Molim vas jedan kilogram jabuka.;Один килограмм яблок, пожалуйста.;One kilogram of apples, please.
79;prodavnica;2;Gde su kese za smeće i deterdžent?;Где мусорные пакеты и стиральный порошок?;Where are the trash bags and detergent?
80;prodavnica;2;Koje je radno vreme prodavnice danas?;Какие сегодня часы работы магазина?;What are the store's opening hours today?
81;prodavnica;3;Ovo povrće je zamrznuto, ne sveže.;Эти овощи заморожены, не свежие.;This vegetable is frozen, not fresh.
82;prodavnica;3;Tražim organsko i domaće voće.;Я ищу органические и отечественные фрукты.;I'm looking for organic and local fruit.
